GEO_ID,NAME,S1502_C01_001E,S1502_C01_002E
13001,"Appling County, Georgia",1208,345
13003,"Atkinson County, Georgia",636,88
13005,"Bacon County, Georgia",769,188
13007,"Baker County, Georgia",290,67
13009,"Baldwin County, Georgia",6556,1782
13011,"Banks County, Georgia",1736,409
13013,"Barrow County, Georgia",9857,2643
13015,"Bartow County, Georgia",13091,3520
13017,"Ben Hill County, Georgia",1255,305
13019,"Berrien County, Georgia",1510,379
13021,"Bibb County, Georgia",25373,7763
13023,"Bleckley County, Georgia",1471,331
13025,"Brantley County, Georgia",1131,286
13027,"Brooks County, Georgia",1965,809
13029,"Bryan County, Georgia",7740,2423
13031,"Bulloch County, Georgia",11472,3264
13033,"Burke County, Georgia",1950,678
13035,"Butts County, Georgia",2078,510
13037,"Calhoun County, Georgia",429,111
13039,"Camden County, Georgia",8029,2209
13043,"Candler County, Georgia",936,296
13045,"Carroll County, Georgia",15625,4300
13047,"Catoosa County, Georgia",9832,2237
13049,"Charlton County, Georgia",806,217
13051,"Chatham County, Georgia",65257,18940
13053,"Chattahoochee County, Georgia",1510,432
13055,"Chattooga County, Georgia",1528,399
13057,"Cherokee County, Georgia",63567,18745
13059,"Clarke County, Georgia",31201,12436
13061,"Clay County, Georgia",275,124
13063,"Clayton County, Georgia",34324,10241
13065,"Clinch County, Georgia",443,147
13067,"Cobb County, Georgia",238686,82387
13069,"Coffee County, Georgia",3675,739
13071,"Colquitt County, Georgia",3764,883
13073,"Columbia County, Georgia",36382,12031
13075,"Cook County, Georgia",1525,323
13077,"Coweta County, Georgia",28989,8035
13079,"Crawford County, Georgia",916,248
13081,"Crisp County, Georgia",2136,465
13083,"Dade County, Georgia",1685,528
13085,"Dawson County, Georgia",5364,1412
13087,"Decatur County, Georgia",2444,507
13089,"DeKalb County, Georgia",225060,80785
13091,"Dodge County, Georgia",2123,478
13093,"Dooly County, Georgia",1200,238
13095,"Dougherty County, Georgia",12306,3575
13097,"Douglas County, Georgia",26093,7061
13099,"Early County, Georgia",1029,332
13101,"Echols County, Georgia",271,71
13103,"Effingham County, Georgia",7896,2253
13105,"Elbert County, Georgia",1557,342
13107,"Emanuel County, Georgia",1938,442
13109,"Evans County, Georgia",1136,286
13111,"Fannin County, Georgia",4262,1255
13113,"Fayette County, Georgia",35275,10548
13115,"Floyd County, Georgia",13537,3922
13117,"Forsyth County, Georgia",78687,29847
13119,"Franklin County, Georgia",2469,637
13121,"Fulton County, Georgia",370539,137947
13123,"Gilmer County, Georgia",4559,1292
13125,"Glascock County, Georgia",237,81
13127,"Glynn County, Georgia",17652,4508
13129,"Gordon County, Georgia",5598,1595
13131,"Grady County, Georgia",2359,517
13133,"Greene County, Georgia",3454,1166
13135,"Gwinnett County, Georgia",215339,73067
13137,"Habersham County, Georgia",5857,1438
13139,"Hall County, Georgia",31756,8771
13141,"Hancock County, Georgia",567,126
13143,"Haralson County, Georgia",2938,733
13145,"Harris County, Georgia",7503,1996
13147,"Hart County, Georgia",2924,699
13149,"Heard County, Georgia",705,184
13151,"Henry County, Georgia",41430,10844
13153,"Houston County, Georgia",28448,8214
13155,"Irwin County, Georgia",943,251
13157,"Jackson County, Georgia",10408,3261
13159,"Jasper County, Georgia",1370,310
13161,"Jeff Davis County, Georgia",1002,249
13163,"Jefferson County, Georgia",1052,166
13165,"Jenkins County, Georgia",461,65
13167,"Johnson County, Georgia",637,86
13169,"Jones County, Georgia",3846,1103
13171,"Lamar County, Georgia",1922,558
13173,"Lanier County, Georgia",1128,396
13175,"Laurens County, Georgia",5152,1186
13177,"Lee County, Georgia",4908,1110
13179,"Liberty County, Georgia",6488,1401
13181,"Lincoln County, Georgia",914,237
13183,"Long County, Georgia",2043,517
13185,"Lowndes County, Georgia",17240,4862
13187,"Lumpkin County, Georgia",5390,1409
13189,"McDuffie County, Georgia",1979,289
13191,"McIntosh County, Georgia",1948,504
13193,"Macon County, Georgia",835,234
13195,"Madison County, Georgia",3734,1062
13197,"Marion County, Georgia",812,168
13199,"Meriwether County, Georgia",1541,333
13201,"Miller County, Georgia",575,145
13205,"Mitchell County, Georgia",1480,372
13207,"Monroe County, Georgia",5109,1506
13209,"Montgomery County, Georgia",966,322
13211,"Morgan County, Georgia",2653,776
13213,"Murray County, Georgia",2665,679
13215,"Muscogee County, Georgia",32751,10158
13217,"Newton County, Georgia",13695,3671
13219,"Oconee County, Georgia",13063,4593
13221,"Oglethorpe County, Georgia",1790,781
13223,"Paulding County, Georgia",23413,6635
13225,"Peach County, Georgia",3631,963
13227,"Pickens County, Georgia",5288,1242
13229,"Pierce County, Georgia",1628,264
13231,"Pike County, Georgia",2131,505
13233,"Polk County, Georgia",3773,805
13235,"Pulaski County, Georgia",1098,168
13237,"Putnam County, Georgia",3666,1016
13239,"Quitman County, Georgia",124,12
13241,"Rabun County, Georgia",3069,1031
13243,"Randolph County, Georgia",482,144
13245,"Richmond County, Georgia",28268,9108
13247,"Rockdale County, Georgia",15542,4467
13249,"Schley County, Georgia",452,154
13251,"Screven County, Georgia",1497,470
13253,"Seminole County, Georgia",971,185
13255,"Spalding County, Georgia",7917,2172
13257,"Stephens County, Georgia",3664,836
13259,"Stewart County, Georgia",595,135
13261,"Sumter County, Georgia",3474,851
13263,"Talbot County, Georgia",570,170
13265,"Taliaferro County, Georgia",100,20
13267,"Tattnall County, Georgia",2354,445
13269,"Taylor County, Georgia",715,259
13271,"Telfair County, Georgia",1043,213
13273,"Terrell County, Georgia",673,129
13275,"Thomas County, Georgia",7514,2077
13277,"Tift County, Georgia",4671,1181
13279,"Toombs County, Georgia",2835,632
13281,"Towns County, Georgia",2551,645
13283,"Treutlen County, Georgia",583,170
13285,"Troup County, Georgia",8691,2494
13287,"Turner County, Georgia",650,190
13289,"Twiggs County, Georgia",726,232
13291,"Union County, Georgia",4087,1145
13293,"Upson County, Georgia",2394,518
13295,"Walker County, Georgia",8070,2442
13297,"Walton County, Georgia",13234,2878
13299,"Ware County, Georgia",3710,1219
13301,"Warren County, Georgia",481,97
13303,"Washington County, Georgia",1762,465
13305,"Wayne County, Georgia",2595,618
13307,"Webster County, Georgia",275,28
13309,"Wheeler County, Georgia",735,307
13311,"White County, Georgia",4769,1269
13313,"Whitfield County, Georgia",10556,2866
13315,"Wilcox County, Georgia",775,184
13317,"Wilkes County, Georgia",954,314
13319,"Wilkinson County, Georgia",678,161
13321,"Worth County, Georgia",1562,417
